date,code,name,board_code,board_name,prev_close,open,pct_chg,volume,amount,macd
2026-07-30,002154,报 喜 鸟,881136,服装家纺,3.82,3.8,1.57,30294227.0,116945511.0,-0.0267
2026-07-30,002155,湖南黄金,881169,贵金属,22.81,23.02,-1.62,54834931.0,1256332490.0,-0.5852
2026-07-30,002156,通富微电,881121,半导体,62.1,61.07,-10.0,161022820.0,9191320300.0,-0.8657
2026-07-30,002157,正邦科技,881102,养殖业,2.9,2.89,0.34,107295998.0,313903290.0,-0.0308
2026-07-30,002158,汉钟精机,881117,通用设备,25.8,25.59,-7.33,14842791.0,364831440.0,-2.1292
2026-07-30,002159,三特索道,881160,旅游及酒店,12.83,12.8,1.48,4846029.0,63221603.0,-0.1813
2026-07-30,002160,常铝股份,881168,工业金属,3.76,3.76,-1.06,19497000.0,73392036.0,-0.0982
2026-07-30,002161,远 望 谷,881123,其他电子,5.36,5.3,-3.73,19817100.0,104622718.0,-0.1553
2026-07-30,002162,悦心健康,881139,家居用品,3.96,3.94,-0.25,17570374.0,69661778.0,0.0657
2026-07-30,002163,海南发展,881116,建筑装饰,7.95,7.9,-0.88,29103400.0,233621110.0,-0.3384
2026-07-30,002164,宁波东力,881117,通用设备,10.86,10.65,-2.85,8919403.0,95049820.0,-0.4966
2026-07-30,002165,红 宝 丽,881109,化学制品,6.55,6.43,-3.82,72075184.0,460511070.0,-0.0805
2026-07-30,002166,莱茵生物,881109,化学制品,6.61,6.6,-1.51,14262150.0,93715121.0,-0.1467
2026-07-30,002167,东方锆业,881170,小金属,15.44,15.34,-7.84,83617206.0,1228600150.0,-0.8733
2026-07-30,002168,ST惠程,881140,化学制药,3.67,3.67,-1.91,4467100.0,16176312.0,-0.0301
2026-07-30,002169,智光电气,881278,电网设备,11.03,10.95,-5.71,24508600.0,262108380.0,-0.9948
2026-07-30,002170,芭田股份,881263,农化制品,11.65,11.58,0.69,17951840.0,210646600.0,0.0456
2026-07-30,002171,楚江新材,881168,工业金属,9.17,9.1,-0.44,44825961.0,411264700.0,-1.0563
2026-07-30,002172,澳洋健康,881175,医疗服务,3.16,3.16,-0.63,14772700.0,46597590.0,0.0089
2026-07-30,002173,创新医疗,881175,医疗服务,20.48,20.18,-6.98,97350789.0,1958464900.0,0.5339
2026-07-30,002174,游族网络,881275,游戏,11.4,11.29,-3.07,30028520.0,340108920.0,-0.2265
2026-07-30,002175,*ST东智,881117,通用设备,2.37,2.35,-2.53,18734000.0,43837458.0,-0.0367
2026-07-30,002176,江特电机,881277,电机,8.21,8.17,-0.61,54498134.0,447179820.0,-0.6753
2026-07-30,002177,御银股份,881158,零售,5.6,5.62,1.96,56583352.0,325908000.0,-0.131
2026-07-30,002178,延华智能,881272,软件开发,4.43,4.41,-1.58,12110300.0,53832520.0,-0.1377
2026-07-30,002179,中航光电,881276,军工电子,33.67,33.33,-0.86,26453752.0,881503680.0,-1.801
2026-07-30,002180,奔图科技,881130,计算机设备,16.79,16.61,-3.51,15902582.0,257099010.0,0.2439
2026-07-30,002181,粤 传 媒,881164,文化传媒,8.19,8.15,-2.2,33255157.0,270976980.0,-0.929
2026-07-30,002182,宝武镁业,881170,小金属,11.82,11.77,-1.61,16068217.0,188357110.0,-0.6802
2026-07-30,002183,怡 亚 通,881159,贸易,4.54,4.52,-0.44,50098983.0,228122180.0,-0.2691
2026-07-30,002184,海得控制,881171,自动化设备,9.62,9.53,-1.14,6925697.0,66667303.0,-0.2324
2026-07-30,002185,华天科技,881121,半导体,16.57,16.31,-10.02,399613740.0,6187454600.0,-0.9586
2026-07-30,002186,全 聚 德,881160,旅游及酒店,9.12,9.2,0.88,8715185.0,81454968.0,0.0184
2026-07-30,002187,广百股份,881158,零售,5.17,5.19,0.77,22715800.0,120062699.0,-0.0092
2026-07-30,002188,中天服务,881153,房地产,4.74,4.73,-0.84,10357400.0,49220380.0,-0.2078
2026-07-30,002189,中光学,881276,军工电子,18.73,18.52,-3.1,4265800.0,79201492.0,-0.5851
2026-07-30,002190,成飞集成,881126,汽车零部件,22.73,22.7,-0.84,6363820.0,145242380.0,-0.6131
2026-07-30,002191,劲嘉股份,881138,包装印刷,3.75,3.72,0.27,16846562.0,63863207.0,-0.0316
2026-07-30,002192,融捷股份,881267,能源金属,65.54,65.13,-4.23,15704094.0,1003386020.0,-5.9769
2026-07-30,002193,ST如意,881136,服装家纺,3.83,3.82,-1.83,3854900.0,14615800.0,-0.2145
2026-07-30,002194,武汉凡谷,881129,通信设备,8.8,8.68,-1.48,15269594.0,133206971.0,-0.5428
2026-07-30,002195,岩山科技,881271,IT服务,6.69,6.57,-1.35,326842290.0,2202136800.0,-0.1076
2026-07-30,002196,方正电机,881277,电机,10.25,10.2,0.2,27622528.0,285845980.0,-0.7583
2026-07-30,002197,证通电子,881271,IT服务,6.62,6.59,-7.7,65636300.0,412220900.0,0.1197
2026-07-30,002198,ST嘉应,881141,中药,3.19,3.16,1.25,4916700.0,15817597.0,-0.1024
